06-08-2017 | 09:55:10 |   169.254.146.69|1|Log In|Mozilla Firefox|windows|||
06-08-2017 | 14:39:26 |   169.254.146.69|1|Log In|Mozilla Firefox|windows|||
06-08-2017 | 14:47:12 |   169.254.146.69|1|Log In|Mozilla Firefox|windows|||
06-08-2017 | 14:49:16 |   169.254.146.69|1|Log In|Mozilla Firefox|windows|||
06-08-2017 | 15:18:10 |   169.254.146.69|1|Log In|Mozilla Firefox|windows|||
06-08-2017 | 15:54:13 |   169.254.146.69|1|Log In|Mozilla Firefox|windows|||
06-08-2017 | 16:05:17 |   169.254.146.69|1|Log In|Mozilla Firefox|windows|||
06-08-2017 | 16:09:47 |   169.254.146.69|1|Log In|Mozilla Firefox|windows|||
06-08-2017 | 16:17:20 |   169.254.146.69|1|Log In|Mozilla Firefox|windows|||
06-08-2017 | 16:26:42 |   169.254.146.69|1|Log In|Mozilla Firefox|windows|||
06-08-2017 | 16:36:48 |   169.254.146.69|1|Log In|Mozilla Firefox|windows|||
06-08-2017 | 16:38:51 |   169.254.146.69|1|Log In|Mozilla Firefox|windows|||
06-08-2017 | 16:49:16 |   169.254.146.69|1|Log Out|Mozilla Firefox|windows|||
